,Country,Homicides,Rate
0,Armenia,186,5.3
1,Australia,340,2
2,Brazil,28148,18.5
3,Bulgaria,375,4.3
4,Canada,754,2.7
5,"China, Hong Kong Special Administrative Region",92,1.6
6,Colombia,28424,81.4
7,Costa Rica,132,4.2
8,Croatia,437,9.2
9,Cyprus,1,0.1
10,Denmark,68,1.3
11,Ecuador,1153,11
12,Estonia,119,7.7
13,Finland,154,3.1
14,France,1355,2.4
15,Germany,1343,1.7
16,Guyana,192,25.8
17,Hungary,307,3
18,Ireland,23,0.6
19,Jamaica,566,23.2
20,Japan,639,0.5
21,Kyrgyzstan,366,8.3
22,Lithuania,214,5.8
23,Mexico,15128,17.4
24,Netherlands,177,1.2
25,New Zealand,54,1.6
26,Norway,50,1.2
27,Panama,294,11.7
28,Poland,849,2.2
29,Portugal,152,1.5
30,Puerto Rico,817,23
31,Republic of Korea,217,0.5
32,Romania,826,3.5
33,Saint Lucia,10,7.1
34,Singapore,51,1.6
35,Slovenia,40,2
36,Spain,439,1.1
37,Sweden,115,1.3
38,Switzerland,98,1.5
39,United Kingdom (England and Wales),556,1.1
40,United Kingdom (Northern Ireland),114,7.1
41,United Kingdom (Scotland),64,1.3
42,United Kingdom of Great Britain and Northern Ireland,734,1.3
43,United States of America,24703,9.7
